10/4/2017,Knack 2 and SteamWorld Dig 2,"PS4 » Platformer » Beat-'em-Up (Knack 2), Switch » Action Adventure » Platformer » 2D (SteamWorld Dig 2)",,
9/27/2017,Metroid: Samus Returns,3DS » Action Adventure » Platformer » 2D,,
9/20/2017,Destiny 2,PS4 » Shooter » First-Person,,
9/13/2017,Mario + Rabbids Kingdom Battle,Switch » Strategy » Turn-based,,
9/6/2017,Sonic Mania,PC » Platformer » 2D,,
8/30/2017,Agents of Mayhem,PC » Action Adventure » Open World,,
8/23/2017,Hellblade,PS4 » Action Adventure » Hack-and-Slash,,
8/16/2017,Splatoon 2,Switch » Shooter » Third-Person,,
8/9/2017,Pyre,PS4 » Action-Adventure » Visual Novel » Sport,,
8/2/2017,"The End is Nigh, and Yonder: Cloud Catcher Chronicles","PC » Platformer » 2D (The End is Nigh), PC » Adventure » General (Yonder: Cloud Catcher Chronicles),",,
7/26/2017,Fifth Console Generation,N/A,,
7/19/2017,Crash Bandicoot N. Sane Trilogy,PS4 » Platformer » 3D,,
7/12/2017,Hollow Knight / Dead Cells,"PC » Role-Playing » 2D Action RPG (Hollow Knight), PC » Role-Playing » 2D Action RPG (Dead Cells)",,
7/5/2017,Get Even,PC » Action » Shooter » First-Person » Stealth,,
6/28/2017,Strafe,PC » Action » Shooter » First-Person » Rogue-Like,,
6/21/2017,E3 2017,PC » Action » Survival Horror » Multiplayer (Friday the 13th: The Game),,
6/14/2017,Vanquish,PC » Action » Shooter » Third-Person » Sci-Fi,,
6/7/2017,Injustice 2,PS4 » Action » Fighting » 2D/3D,,
5/31/2017,The Surge,PS4 » Role-Playing » Action RPG,,
5/24/2017,Wilson's Heart,"PC » Peripheral » VR (Oculus Rift), PC » Peripheral » Controller (Oculus Touch), PC » Adventure » VR (Wilson's Heart)",,
5/17/2017,Prey,PC » Action » Shooter » First-Person » Sci-Fi,,
5/10/2017,Sniper: Ghost Warrior 3,PC » Action » Shooter » Third-Person » Tactical,,
5/3/2017,Outlast 2,PC » Horror » First-Person,,
4/26/2017,Remastered Editions,"PC » Action » Shooter (Bulletstorm: Full Clip Edition), PC » Adventure » General (Full Throttle Remastered), PC » Role-Playing » Fantasy (Planescape: Torment: Enhanced Edition), PS4 » Miscellaneous » Rhythm (PaRappa the Rapper Remastered)",,
4/19/2017,Persona 5,PS4 » Role-Playing » Console-style RPG,,
4/12/2017,Yooka-Laylee,PC » Action Adventure » Platformer,,
4/5/2017,Mass Effect Andromeda,PC » Role-Playing » Action RPG,,
3/29/2017,Ghost Recon Wildlands,"PC » Shooter » Tactical » Open World (Ghost Recon Wildlands), PC » Adventure » General (Night in the Woods)",,
3/22/2017,Nier Automata,PS4 » Role-Playing » Action RPG,,
3/15/2017,Horizon Zero Dawn,PS4 » Action Adventure » Open World,,
3/8/2017,Nintendo Switch & Breath of the Wild,Switch » Action Adventure » Open World (The Legend of Zelda: Breath of the Wild),,
3/1/2017,For Honor,PC » Action » Fighting,,
2/22/2017,Nioh,PS4 » Role-Playing » Action RPG,,
2/15/2017,Yakuza 0,PS4 » Action Adventure » Modern,,
2/8/2017,Resident Evil 7,PS4 » Horror » First-Person,,
2/1/2017,Gravity Rush 2,PS4 » Action Adventure » Modern,,
1/25/2017,Hitman,PC » Action Adventure » Stealth,,
1/18/2017,Dead Rising 4,Xbox One » Action » RPG,,
1/11/2017,Let It Die,PS4 » Action » Hack-and-Slash,,
1/4/2017,Top 5 Games of 2016,N/A,,
12/21/2016,The Last Guardian,PS4 » Action Adventure » Platformer,,
12/14/2016,Final Fantasy XV,PS4 » Role-Playing » Console-style RPG,,
12/7/2016,WATCH_DOGS 2,PC » Action Adventure » Stealth » Third-Person,,
11/30/2016,Dishonored 2,PC » Action-Adventure » Fantasy,,
11/23/2016,Titanfall 2 vs Call of Duty: Infinite Warfare,"PC » Shooter » First-Person (Titanfall 2), PC » Shooter » First-Person (Call of Duty: Infinite Warfare)",,
11/16/2016,Battlefield 1,Xbox One » Shooter » First-Person » Historic,,
11/9/2016,PlayStation VR,PS4 » Peripheral,,
11/2/2016,Gears of War 4,Xbox One » Shooter » Third-Person,,
10/26/2016,Mafia III,PC » Action-Adventure » Open World,,
10/19/2016,Paper Mario: Color Splash,Wii U » Role-Playing » Action RPG,,
10/12/2016,Clustertruck & Lichtspeer,"PC » Action » Platformer (Clustertruck), PC » Action Adventure » 2D (Lichtspeer)",,
10/5/2016,Capcom Five,Various,,
9/28/2016,ReCore,PC » Action Adventure » Sci-Fi,,
9/21/2016,The Curious Expedition & Mother Russia Bleeds,"PC » Adventure » 2D (The Curious Expedition), PC » Brawler » 2D (Mother Russia Bleeds)",,
9/14/2016,Metroid Prime: Federation Force,3DS » Action Adventure » General,,
9/7/2016,Deus Ex: Mankind Divided,PC » Action Adventure » Sci-Fi,,
8/31/2016,Grow Up,"PC » Action-Adventure » Platformer (Grow Home), PC » Action-Adventure » Platformer (Grow Up)",,
8/24/2016,No Man's Sky,PS4 » Action-Adventure » Survival,,
8/17/2016,Quake,PC » Shooter » First-Person,,
8/10/2016,Headlander & Quadrilateral Cowboy,"PS4 » Action » Platformer » 2D (Headlander), PC » Puzzle » General (Quadrilateral Cowboy)",,
8/3/2016,I Am Setsuna,PC » Role-Playing » Console-style RPG,,
7/27/2016,Furi & Song of the Deep,"PC » Action » Hack-and-Slash (Furi), PC » Adventure » Exploration (Song of the Deep)",,
7/20/2016,The Technomancer,PC » Role-Playing » Action RPG,,
7/13/2016,Inside & Shadow of the Beast,"Xbox One » Platformer » Puzzle (Inside), PS4 » Action-Adventure » Third-Person (Shadow of the Beast)",,
7/6/2016,Mighty No. 9,PC » Action » Platformer » 2D,,
6/29/2016,E3 2016,N/A,,
6/22/2016,Mirror's Edge: Catalyst,PC » Action » First-Person » Modern,,
6/15/2016,Overwatch & Battleborn,"PC » Shooter » First-Person (Overwatch), PC » Shooter » First-Person (Battleborn)",,
6/8/2016,Homefront: The Revolution,PC » Shooter » First-Person,,
6/1/2016,Doom,PC » Shooter » First-Person,,
5/25/2016,Uncharted 4: A Thief's End,PS4 » Action Adventure » Modern,,
5/18/2016,Paper Mario: The Thousand-Year Door,Gamecube » Role-Playing » Action RPG,,
5/11/2016,Star Fox Zero,Wii U » Shooter » Side-scrolling,,
5/4/2016,Ratchet & Clank,PS4 » Action-Adventure » General,,
4/27/2016,Dark Souls III,PS4 » Role-Playing » Action RPG,,
4/20/2016,Quantum Break,Xbox One » Action » Third-Person,,
4/13/2016,Shadow Warrior,PC » Action » First-Person,,
4/6/2016,Republique,PC » Action » Stealth,,
3/30/2016,Salt and Sanctuary,PS4 » Role-Playing » 2D Action RPG,,
3/23/2016,The Division,PC » MMO-Shooter » Third Person,,
3/16/2016,Stardew Valley & SUPERHOT,"PC » Simulator » Farming (Stardew Valley), PC » Shooter » First Person (SUPERHOT)",,
3/9/2016,Far Cry Primal,PC » Sandbox » First Person,,
3/2/2016,Firewatch & Layers of Fear,"PC » Adventure » First-Person (Firewatch), PC » Horror » First Person (Layers of Fear)",,
2/24/2016,XCOM 2,PC » Strategy » Role-Playing » General,,
2/17/2016,Gravity Rush,PS4 » Action Adventure » Modern,,
2/10/2016,The Witness & Bombshell,"PC » Adventure » First-Person (The Witness), PC » Shooter » Top-Down (Bombshell)",,
2/3/2016,Xenoblade Chronicles X,Wii U » JRPG » Open World,,
1/27/2016,Assassin's Creed Chronicles,"PC » Stealth » 2.5D (Assassins's Creed Chronicles China), PC » Stealth » 2.5D (Assassins's Creed Chronicles India),",,
1/20/2016,Mario & Luigi: Paper Jam,3DS » Role-Playing » Action RPG,,
1/13/2016,Devil's Third,Wii U » Action Adventure » Mixed,,
1/6/2016,Top 5 Games of 2015,PC » Role-Playing » JRPG-style (Undertale),,
12/23/2015,Fatal Frame: Maiden of Black Water,Wii U » Action Adventure » Horror,,
12/16/2015,Just Cause 3,PS4 » Action Adventure » Modern,,
12/9/2015,Star Wars: Battlefront,PS4 » Shooter » First-Person,,
12/2/2015,Fallout 4,PC » Role-Playing » First-Person,,
11/25/2015,Rise of the Tomb Raider,Xbox One » Action Adventure » Modern,,
11/18/2015,Call of Duty: Black Ops 3,PC » Shooter » First-Person,,
11/11/2015,Halo 5: Guardians,Xbox One » Action » Shooter » First-Person » Sci-Fi,,
11/4/2015,Assassin's Creed Syndicate,PS4 » Action-Adventure » Historic,,
10/29/2015,Rock Band 4,PS4 » Miscellaneous » Rhythm » Music,,
10/21/2015,SOMA,PC » Adventure » Horror,,
10/14/2015,Super Mario Maker,Wii U » Action » Platformer » 2D,,
9/30/2015,Until Dawn,PS4 » Adventure » Interactive Story,,
9/23/2015,Gears of War: Ultimate Edition,Xbox One » Shooter » Third-Person,,
9/16/2015,Mad Max,PC » Action » Open World,,
9/9/2015,Metal Gear Solid V: The Phantom Pain,PS4 » Action » Stealth,,
9/2/2015,Volume,PC » Action » Stealth,,
8/26/2015,Everybody's Gone To The Rapture,PS4 » Adventure » First-Person,,
8/19/2015,Nom Nom Galaxy & Freedom Planet,"PC » Open-World » Survival (Nom Nom Galaxy), Wii U » Platformer » Side-Scrolling (Freedom Planet)",,
8/12/2015,King's Quest:A Knight to Remember,PC » Adventure » Modern,,
8/5/2015,Rocket League & Tembo the Badass Elephant,"PC » Racing » Sports (Rocket League), PC » Platformer » Side-Scrolling (Tembo the Badass Elephant)",,
7/29/2015,Godzilla,PS4 » Action-Adventure » General,,
7/22/2015,Cave Story,PC » Platformer » 2D,,
7/15/2015,Yoshi's Woolly World,Wii U » Platformer » 2D,,
7/8/2015,Batman: Arkham Knight,PS4 » Action-Adventure » Fantasy,,
7/1/2015,Alone in the Dark: Illumination,PC » Action » Shooter » First-Person,,
6/24/2015,E3 2015,N/A,,
6/17/2015,Hatred,PC » Action » Shooter,,
6/10/2015,Splatoon,Wii U » Shooter » Third-Person,,
6/3/2015,The Witcher 3: Wild Hunt,Playstation 4 » Role-Playing » Action RPG,,
5/27/2015,Cyberpunk Double,"PC » Action » Side-Scrolling (Dex), PC » Stealth » Strategy (Invisible, Inc.)",,
5/20/2015,Wolfenstein: The Old Blood,PC » Action » Shooter » First-Person » Historic,,
5/13/2015,Broken Age: Act 2,PC » Adventure » General,,
5/6/2015,Grand Theft Auto Online,PC » MMO » Action Adventure » Modern,,
4/29/2015,Mortal Kombat X,PC » Action » Fighting » 2D,,
4/22/2015,Axiom Verge & Stealth Inc 2,"PS4 » Action-Adventure » Side-Scrolling (Axiom Verge), X-Box One » Puzzle » Platformer (Stealth Inc 2)",,
4/15/2015,Half-Life 2 Update,PC » Action » Shooter » First-Person » Sci-Fi,,
4/8/2015,Bloodborne,PS4 » Role-Playing » Action RPG,,
4/1/2015,Battlefield: Hardline,PS4 » Action » Shooter » First-Person,,
3/25/2015,Hotline Miami 2: Wrong Number & Ori and the Blind Forest,"PC » Action » General (Hotline Miami 2: Wrong Number), PC » Adventure » Platformer",,
3/18/2015,Resident Evil Revelations 2,PC » Action » Horror » Third-Person,,
3/11/2015,The Legend of Zelda: Majora's Mask 3D,3DS » Action-Adventure » General » Third-Person,,
3/4/2015,The Order: 1886,PS4 » Action » Shooter » Third-Person,,
2/25/2015,Evolve,PC » Action » Shooter » First-Person,,
2/18/2015,Grim Fandango,PC » Adventure » General,,
2/11/2015,Dying Light,PC » Action » RPG » Horror,,
2/4/2015,Saints Row: Gat out of Hell,PC » Action-Adventure » Sandbox,,
1/28/2015,Lords of the Fallen,PC » Role-Playing » Action RPG,,
1/21/2015,Five Nights at Freddy's and This War of Mine,"PC » Point-and-click » Horror (Five Nights at Freddy's), PC » Action » Survival (This War of Mine)",,
1/14/2015,Elite: Dangerous,PC » Simulation » Space,,
1/7/2015,The Talos Principle,PC » Puzzle » First-Person,,
12/31/2014,Top 5 Games of 2014,N/A,,
12/17/2014,Sonic Boom: Rise of Lyric,Wii U » Platformer » 3D,,
12/10/2014,Dragon Age: Inquisition,PS4 » Role-Playing » Fantasy,,
12/3/2014,Far Cry 4,PC » Sandbox » First Person » Shooter,,
11/26/2014,Assassin's Creed: Unity,PS4 » Action-Adventure » Historic,,
11/19/2014,Call of Duty: Advanced Warfare,PC » Shooter » First-Person,,
11/12/2014,Sunset Overdrive,Xbox One » Action Adventure » Open World,,
11/5/2014,Bayonetta 2,Wii U » Action » Beat 'em Up,,
10/29/2014,The Evil Within,PC » Action Adventure » Horror,,
10/22/2014,Alien Isolation,PC » Action Adventure » Horror,,
10/15/2014,Middle-earth: Shadow of Mordor,PC » Action » RPG,,
10/8/2014,Hyrule Warriors,Wii U » Action » Third-Person,,
10/1/2014,D4: Dark Dreams Don't Die,Xbox One » Adventure » Third-Person,,
9/24/2014,Destiny,PS4 » Shooter » First-Person,,
9/17/2014,The Sims 4,PC » Miscellaneous » Virtual Life,,
9/10/2014,Lichdom: Battlemage,PC » Action » RPG,,
9/3/2014,Daikatana,PC » Action » Shooter » First-Person,,
8/27/2014,Risen 3: Titan Lords,PC » Action » RPG,,
8/20/2014,Sacred 3,PC » Action » Hack-and-Slash,,
8/13/2014,Firefall,PC » MMO » Shooter,,
8/6/2014,E.T.,Atari 2600 » Adventure » General,,
7/30/2014,Transistor,PC » Role-Playing » Action RPG,,
7/23/2014,EarthBound,Wii U » Role-Playing » Console-style RPG,,
7/16/2014,Shovel Knight,PC » Action » Platformer » 2D,,
7/9/2014,Enemy Front & Valiant Hearts: The Great War,"PC » Action » Shooter » First-Person » Historic (Enemy Front), PC » Adventure » General (Valiant Hearts: The Great War)",,
7/2/2014,Tomodachi Life,3DS » Miscellaneous » Life Simulator,,
6/25/2014,Murdered: Soul Suspect,PC » Action Adventure » Puzzle » Third-Person,,
6/18/2014,E3 2014,N/A,,
6/11/2014,WATCH_DOGS,PC » Action Adventure » Stealth » Third-Person,,
6/4/2014,Wolfenstein: The New Order,PC » Action » Shooter » First-Person » Historic,,
5/28/2014,Tesla Effect: A Tex Murphy Adventure,PC » Adventure » First-Person » General,,
5/21/2014,The Amazing Spider-Man 2,Xbox 360 » Action » General,,
5/14/2014,Child of Day-Light,"PC » Action Adventure » Horror (Daylight), PlayStation 4 » Role Playing » General (Child of Light)",,
5/7/2014,FTL: Faster Than Light,PC » Strategy » Real-Time » Sci-Fi,,
4/30/2014,South Park: The Stick of Truth,PlayStation 3 » Role-Playing » Third-Person,,
4/23/2014,The Elder Scrolls Online,PC » Role-Playing » Massively Multiplayer Online » Fantasy,,
4/16/2014,Metal Gear Solid V: Ground Zeroes,PlayStation 4 » Action Adventure » Modern,,
4/9/2014,inFamous: Second Son,PlayStation 4 » Action Adventure » Sci-Fi,,
4/2/2014,Titanfall,Xbox One » Shooter » First-Person » Multiplayer Only,,
3/26/2014,Dark Souls II,PlayStation 3 » Role-Playing » Action RPG,,
3/19/2014,Castlevania: Lords of Shadow 2,PlayStation 3 » Action-Adventure » Fantasy,,
3/12/2014,Thief,PlayStation 4 » Action-Adventure » Fantasy,,
3/5/2014,Strider,PlayStation 3 » Action » Platformer » 2D,,
2/26/2014,Lightning Returns: Final Fantasy XIII,PlayStation 3 » Role-Playing » Console-style RPG,,
2/19/2014,Dark Souls,PlayStation 3 » Role-Playing » Action RPG,,
2/12/2014,The Legend of Zelda: A Link Between Worlds,3DS » Action Adventure » Fantasy,,
2/5/2014,Might & Magic X: Legacy,PC » Role-Playing » First-Person,,
1/29/2014,Broken Age,PC » Adventure » General,,
1/22/2014,Survival Special,"PC » Survival (Rust, Starbound, 7 Days to Die)",,
1/15/2014,Killzone: Shadow Fall,PlayStation 4 » Shooter » First-Person,,
1/8/2014,Knack,PlayStation 4 » Platformer » Beat-'Em-Up,,
1/1/2014,Top 5 of 2013,N/A,,
12/18/2013,Super Mario 3D World,Wii U » Platform » 3D,,
12/11/2013,Dead Rising 3,Xbox One » Action » RPG,,
12/4/2013,Ryse: Son of Rome,Xbox One » Action-Adventure » Historic,,
11/27/2013,Exclusives Showdown,PlayStation 4 / Xbox One » Various,,
11/20/2013,Call of Duty: Ghosts,PC » Shooter » First-Person,,
11/13/2013,Assassin's Creed IV: Black Flag,PC » Action-Adventure » Historic,,
11/6/2013,Batman: Arkham Origins,PC » Action-Adventure » Fantasy,,
10/30/2013,The Legend of Zelda: The Wind Waker HD,Wii U » Action-Adventure » Fantasy,,
10/23/2013,Beyond: Two Souls,PlayStation 3 » Action Adventure » Sci-Fi,,
10/16/2013,Lost Planet 3,Xbox 360 » Action Adventure » Sci-Fi,,
10/2/2013,Grand Theft Auto 5,PlayStation 3 » Action Adventure » Modern,,
9/25/2013,Amnesia: A Machine for Pigs,PC » Adventure » Survival Horror » First-Person,,
9/18/2013,Killer is Dead,Xbox 360 » Action » Hack and Slash,,
9/11/2013,Saints Row 4,Xbox 360 » Action-Adventure » Modern,,
9/4/2013,The Bureau: XCOM Declassified,Xbox 360 » Shooter » Tactical,,
8/28/2013,Pikmin 3,Wii U » Strategy » Real-Time,,
8/21/2013,"Papers, Please & Brothers: A Tale of Two Sons","PC » Puzzle » General (Papers, Please), XBLA » Adventure » General (Brothers)",,
8/14/2013,Rise of the Triad,PC » Action » Shooter » First-Person,,
8/7/2013,Mario & Luigi: Dream Team,3DS » Role-Playing » Console-style RPG,,
7/31/2013,Dark,PC » Action » Stealth,,
7/24/2013,Ride to Hell: Retribution,PlayStation 3 » Action-Adventure » Modern,,
7/17/2013,Animal Crossing: New Leaf,3DS » Miscellaneous » Life-Simulator,,
7/10/2013,Deadpool,PlayStation 3 » Action » Beat-'Em-Up,,
7/3/2013,The Last of Us,Playstation 3 » Action-Adventure » Survival Horror » Third-Person,,
6/26/2013,E3 2013,N/A,,
6/19/2013,Remember Me,PlayStation 3 » Action Adventure » Sci-Fi,,
6/12/2013,Fuse,PlayStation 3 » Action » Shooter » Third-Person,,
6/5/2013,Next Gen Buyer's Guide,N/A,,
5/29/2013,Metro: Last Light,PC » Action » Shooter » First-Person » Sci-Fi,,
5/22/2013,System Shock 2,PC » Action RPG » Survival Horror » First Person,,
5/15/2013,Far Cry 3: Blood Dragon,PC » Action » Shooter » First-Person » Sci-Fi,,
5/8/2013,Star Trek,PlayStation 3 » Action Adventure » Sci-Fi,,
5/1/2013,Injustice: Gods Among Us,PlayStation 3 » Action » Fighting » 2D/3D,,
4/24/2013,Luigi's Mansion: Dark Moon,3DS » Role-Playing » Console-style RPG,,
4/17/2013,Lego City Undercover,WiiU » Action-Adventure » Sandbox,,
4/10/2013,Bioshock Infinite,Xbox » Action » Shooter » First-Person » Sci-Fi,,
4/3/2013,The Walking Dead: Survival Instinct,Xbox » Action » Shooter » First-Person » Survival,,
3/27/2013,SimCity,PC » Strategy » City Building » Modern,,
3/20/2013,Tomb Raider,PlayStation 3 » Action Adventure » Modern,,
3/13/2013,Metal Gear Rising: Revengeance,PlayStation 3 » Action Adventure » Modern,,
3/6/2013,Crysis 3,Xbox 360 » Action » Shooter » First-Person » Sci-Fi,,
2/27/2013,Aliens: Colonial Marines,PlayStation 3 » Action » Shooter » First-Person » Sci-Fi,,
2/20/2013,Dead Space 3,PlayStation 3 » Action » Shooter » Third-Person » Sci-Fi,,
2/13/2013,Ni No Kuni: Wrath of the White Witch,PlayStation 3 » Role-Playing » Console-style RPG,,
2/6/2013,The Cave,PC » Adventure » Platforming,,
1/30/2013,DMC: Devil May Cry,PlayStation 3 » Action » Hack-'N-Slash » Third-Person » Fantasy,,
1/23/2013,Anarchy Reigns,PlayStation 3 » Action » Beat-'Em-Up & Xbox 360 » Action » Beat-'Em-Up,,
1/16/2013,Black Knight Sword & Hotline Miami,"XBLA » Action Adventure » Side-scroller (Black Knight Sword), PC » Action » General (Hotline Miami)",,
1/9/2013,Paper Mario: Sticker Star,3DS » Role-Playing » Console-style RPG,,
1/2/2013,Top 5 of 2012,N/A,,
12/19/2012,ZombiU,Wii U » Action-Adventure » Survival Horror » First-Person,,
12/12/2012,Far Cry 3,PC » Sandbox » First Person » Shooter,,
12/5/2012,Hitman: Absolution,PlayStation 3 » Action Adventure » Stealth,,
11/28/2012,Call of Duty: Black Ops 2,PlayStation 3 » Action » Shooter » First-Person,,
11/21/2012,Halo 4,Xbox 360 » Action » Shooter » First-Person » Sci-Fi,,
11/14/2012,Assassin's Creed 3,Xbox 360 » Action Adventure » Historic,,
11/7/2012,Medal of Honor: Warfighter & Doom 3: BFG Edition,"PC » Action » Shooter » First-Person » Modern (Medal of Honor: Warfighter), PC » Action » Shooter » First-Person » Sci-Fi (Doom 3: BFG Edition)",,
10/31/2012,XCOM: Enemy Unknown,PC » Strategy » Role-Playing » General,,
10/24/2012,Dishonored,PC » Action-Adventure » Fantasy,,
10/17/2012,Resident Evil 6,PlayStation 3 » Action Adventure » Horror,,
10/10/2012,FIFA 13,"XBLA » Action » Side-scroller (Mark of the Ninja), PC » Adventure » Survival Horror » First-Person (Anna), PSN » Action-Adventure » Survival (Tokyo Jungle)",,
10/3/2012,Borderlands 2,PC » Action » Shooter » First-Person » Sci-Fi,,
9/26/2012,Guild Wars 2,PC » Role-Playing » Massively Multiplayer Online » Fantasy,,
9/12/2012,DayZ,PC » Action » Shooter » First-Person » Mod (ARMA 2),,
9/5/2012,Darksiders 2,PlayStation 3 » Action Adventure » Modern,,
8/29/2012,Sleeping Dogs,PlayStation 3 » Action RPG » Shooter » Third-Person » Modern,,
8/22/2012,Steam Roundup,"PC » Adventure » Puzzle » 2.5D Side-Scroller (Unmechanical), PC » Action » Strategy (Orcs Must Die 2), PC » Adventure » General (The Book of Unwritten Tales)",,
8/15/2012,Wreckateer and Deadlight,"XBLA » Action » Puzzle (Wreckateer), XBLA » Platformer » Survival Horror (Deadlight)",,
8/8/2012,Half-Life,PC » Action » Shooter » First-Person » Sci-Fi,,
8/1/2012,The Amazing Spider-Man,Xbox 360 » Action » General,,
7/25/2012,Inversion,PlayStation 3 » Action » Shooter » Third-Person » Modern,,
7/18/2012,Walking Dead,PC » Adventure » General,,
7/11/2012,Spec Ops: The Line,PC » Action » Shooter » Third-Person » Tactical » Modern,,
7/4/2012,Quantum Conundrum,PC » Miscellaneous » Puzzle » General,,
6/27/2012,Lollipop Chainsaw,PlayStation 3 » Action » General,,
6/20/2012,E3 2012,N/A,,
6/13/2012,Dragon's Dogma,PlayStation 3 » Action » General,,
6/6/2012,Max Payne 3,PC » Action » Shooter » Third-Person » Modern,,
5/30/2012,Diablo 3,PC » Role-Playing » Action RPG,,
5/23/2012,Sniper Elite V2,PC » Action » Shooter » Third-Person » Tactical » Historic,,
5/16/2012,Risen 2: Dark Waters,PC » Role-Playing » General,,
5/9/2012,Prototype 2,PlayStation 3 » Action Adventure » Sci-Fi,,
5/2/2012,Fez and I Am Alive,"XBLA » Action » Platformer » 2D (Fez), XBLA » Action Adventure » Horror (I Am Alive)",,
4/25/2012,Kid Icarus: Uprising,3DS » Action Adventure » Fantasy,,
